Size;Generation(µs);Serialization(µs);ToRedis(µs)
128x128;3920;8;387
128x128;3901;5;286
256x256;14731;37;476
512x512;59153;192;2265
128x128;3834;13;311
256x256;14657;39;436
512x512;58575;204;1774
128x128;3609;10;962
256x256;14471;36;386
128x128;3612;6;185
256x256;14410;24;358
512x512;59612;182;1038
128x128;3565;12;284
256x256;14309;39;358
512x512;59712;176;1134
256x256;14887;43;395
256x256;14536;23;387
512x512;59136;210;1244
128x128;3638;10;217
256x256;14334;41;396
512x512;57658;194;1195
128x128;3836;8;240
128x128;3848;3;216
256x256;14450;38;336
512x512;59667;180;1201
256x256;15100;42;373
512x512;58708;190;1660
128x128;3628;8;201
256x256;14550;45;432
128x128;3972;8;256
512x512;59251;201;1118
512x512;58672;172;1061
128x128;3721;10;255
128x128;3675;4;223
256x256;15003;37;424
128x128;3642;7;285
512x512;57894;202;1186
512x512;59339;200;1170
128x128;3666;9;234
128x128;3597;2;232
128x128;3831;3;279
256x256;14854;38;369
128x128;3673;6;304
512x512;59530;213;1833
128x128;3662;21;231
256x256;15403;47;407
256x256;15026;33;486
128x128;3634;8;342
512x512;59258;188;1222
512x512;59314;176;1394
512x512;59594;195;1252
128x128;3712;9;246
512x512;59918;206;1563
128x128;4026;9;232
512x512;59342;193;1396
512x512;58784;184;1325
512x512;57994;189;1493
512x512;59394;187;1503
128x128;3727;9;239
512x512;58885;189;1175
256x256;14628;42;387
512x512;59936;194;1205
128x128;3804;8;193
512x512;59345;179;1217
128x128;3797;9;223
256x256;14467;37;366
128x128;3652;8;233
256x256;14850;34;439
512x512;59728;209;1323
512x512;59821;200;1271
512x512;59075;177;2041
128x128;3886;10;271
128x128;3636;3;222
128x128;3745;3;272
128x128;3671;2;258
128x128;3640;3;212
128x128;3870;3;263
256x256;15165;35;417
256x256;15088;25;386
256x256;15448;31;408
512x512;59423;177;1191
128x128;3621;8;263
128x128;3569;4;235
128x128;3727;3;247
256x256;14369;37;347
256x256;14398;20;372
128x128;3849;9;205
256x256;15329;27;374
128x128;3640;20;230
512x512;60276;179;1416
512x512;59768;195;1456
256x256;14355;46;473
512x512;58485;193;1440
256x256;14466;44;427
512x512;57784;207;1474
512x512;59417;251;1581
128x128;3850;8;264
512x512;59528;204;1196
128x128;3767;10;271
256x256;14997;35;398
512x512;58725;217;1354
256x256;15102;45;452
256x256;14883;20;361
256x256;14407;18;340
512x512;58402;164;1349
512x512;58550;199;1423
512x512;58444;198;1419
256x256;14916;42;377
128x128;3792;9;204
512x512;58250;180;1249
128x128;3669;9;215
128x128;3651;3;205
128x128;3643;2;288
128x128;3660;2;258
128x128;3676;6;353
128x128;3662;2;276
512x512;58700;205;1438
128x128;3847;20;277
128x128;3800;3;218
128x128;4010;3;230
256x256;14758;48;428
256x256;14998;18;408
512x512;59077;257;1442
256x256;15372;40;403
512x512;58416;189;1387
256x256;14564;38;414
512x512;59518;236;1997
256x256;15157;50;668
512x512;59135;226;1927
256x256;14744;42;409
512x512;58438;202;1335
128x128;3667;9;228
256x256;14567;44;460
512x512;59226;210;1681
512x512;59250;216;1485
256x256;14848;40;389
128x128;3854;10;226
512x512;58558;180;1514
512x512;58964;200;1462
256x256;15055;42;436
256x256;14587;17;316
256x256;14807;39;498
256x256;14621;24;382
512x512;59366;201;1362
128x128;3587;36;253
256x256;15102;42;449
512x512;58548;189;1517
128x128;3687;9;272
512x512;58139;193;1214
512x512;59122;211;1802
512x512;60146;210;1427
128x128;3649;8;260
128x128;3891;4;244
512x512;58716;195;1250
256x256;14835;38;386
128x128;3640;8;187
256x256;14475;20;348
256x256;14804;27;478
512x512;59114;186;1508
256x256;14754;52;507
256x256;14632;21;367
128x128;3894;9;281
512x512;60397;235;1253
256x256;14633;46;388
128x128;3777;9;249
128x128;3770;3;208
256x256;14402;25;353
128x128;3857;6;243
128x128;3637;2;228
512x512;58590;212;1198
512x512;59040;179;1331
256x256;14465;42;467
512x512;58790;228;1530
128x128;3708;9;237
256x256;15210;39;421
512x512;58499;201;1427
256x256;14951;41;433
512x512;59645;187;1444
512x512;58765;202;1584
128x128;3592;8;295
128x128;3604;2;246
512x512;58463;194;1486
512x512;59221;207;1209
512x512;59234;220;1630
128x128;3679;10;209
256x256;14717;38;361
128x128;3762;7;220
512x512;59345;228;1227
512x512;58935;197;1695
512x512;59716;199;1425
128x128;3809;9;245
128x128;3960;13;249
128x128;3934;3;219
512x512;58187;205;1322
512x512;58670;222;1307
256x256;14988;48;388
256x256;14605;23;356
128x128;3876;9;214
256x256;15107;34;471
256x256;15097;36;405
128x128;3679;9;277
256x256;14854;26;354
128x128;3654;7;221
512x512;58722;197;1435
256x256;14918;45;353
128x128;3736;9;222
128x128;4088;4;217
512x512;57940;192;1338
128x128;3633;11;226
256x256;15134;40;471
256x256;14859;24;346
128x128;3800;8;231
128x128;3670;4;233
128x128;3683;3;246
256x256;14802;25;348
512x512;57958;177;1295
512x512;59266;182;2001
512x512;58988;184;1689
128x128;3912;10;286
128x128;3685;8;285
512x512;59332;193;1084
512x512;58431;237;1559
256x256;14701;43;385
512x512;57965;189;1308
128x128;3725;9;220
512x512;58938;245;1417
512x512;59086;198;1350
128x128;3656;9;248
256x256;14564;40;334
512x512;59298;185;1297
256x256;14691;40;377
128x128;3604;9;218
256x256;14637;28;394
256x256;14652;18;358
512x512;58833;215;1490
256x256;14612;54;437
256x256;14729;36;406
512x512;59068;175;1328
512x512;58313;186;1692
512x512;58692;211;1351
128x128;3660;9;215
256x256;14288;37;433
512x512;58690;206;1332
128x128;3641;8;228
128x128;3937;4;242
256x256;15649;45;400
128x128;3752;9;210
128x128;3766;4;188
512x512;59163;195;1343
128x128;3770;9;226
128x128;3640;3;228
128x128;3627;3;207
256x256;15366;41;368
256x256;14834;20;344
256x256;15645;20;333
128x128;3890;8;254
512x512;59121;175;1556
128x128;3595;8;226
128x128;3602;3;304
128x128;3973;4;237
512x512;59641;215;1275
512x512;58214;179;1437
128x128;3644;12;232
128x128;4135;7;235
128x128;3649;2;236
128x128;3609;4;211
256x256;15162;37;370
512x512;58849;208;1164
128x128;3889;8;255
128x128;4241;3;212
512x512;58413;183;1223
256x256;14849;39;392
128x128;4153;10;321
128x128;3892;5;263
128x128;3574;2;223
128x128;3753;3;204
256x256;14803;32;403
256x256;14674;21;432
512x512;57481;201;1230
128x128;3602;8;222
256x256;14367;40;385
128x128;3634;5;235
512x512;57509;191;1594
256x256;14325;39;481
128x128;3629;9;272
128x128;3619;2;292
512x512;59000;176;1449
256x256;14574;39;406
256x256;14318;23;399
512x512;57290;174;1296
128x128;3619;9;246
256x256;14400;41;403
128x128;3886;8;217
256x256;15807;26;401
128x128;3886;8;304
256x256;14302;23;406
512x512;57425;177;1421
128x128;3612;8;238
512x512;58976;189;1247
512x512;59210;192;1463
512x512;58205;183;1595
512x512;59287;207;1376
128x128;3733;11;234
512x512;59320;177;1513
128x128;3732;9;265
512x512;59246;189;1535
512x512;58691;193;1360
256x256;14636;39;396
128x128;3628;10;193
128x128;3696;3;211
256x256;14561;21;361
128x128;3699;6;186
512x512;59252;198;1365
128x128;3941;9;256
128x128;3671;3;240
512x512;58453;180;1346
128x128;3651;9;254
256x256;14599;38;436
256x256;14612;20;420
256x256;14594;15;359
512x512;58873;195;1259
256x256;14964;31;494
128x128;3806;8;277
128x128;3653;3;281
512x512;60122;214;1412
128x128;3607;8;225
128x128;3863;13;202
512x512;59549;166;1271
512x512;58789;199;1348
256x256;15317;76;444
256x256;15231;36;416
256x256;14392;25;355
512x512;59433;193;1504
128x128;3574;8;223
256x256;14793;36;364
128x128;3639;5;223
512x512;58922;182;1367
512x512;58718;194;1301
512x512;58900;175;1334
512x512;58978;201;1551
256x256;14379;40;459
128x128;3645;9;214
512x512;59081;192;1447
512x512;58342;187;1586
128x128;3633;11;247
128x128;3638;3;237
256x256;15084;39;370
512x512;58762;178;1451
512x512;57952;178;1278
512x512;58847;186;1459
128x128;3731;9;214
512x512;59093;198;1556
256x256;14889;41;509
128x128;3675;8;253
128x128;3644;2;300
128x128;3650;2;218
128x128;3652;2;320
256x256;14867;38;554
512x512;59006;194;1676
512x512;58784;214;1543
512x512;59177;181;1347
128x128;3911;9;217
512x512;59746;164;1369
256x256;15344;44;472
256x256;14558;19;409
256x256;14697;23;367
512x512;58683;180;1189
128x128;3683;9;268
256x256;14661;52;462
128x128;3650;8;303
512x512;58954;196;1158
256x256;15171;47;423
256x256;14886;35;398
128x128;3643;8;276
512x512;58438;200;1370
512x512;59049;207;1593
256x256;14595;42;408
128x128;3826;8;213
512x512;58483;202;1331
128x128;3627;8;205
256x256;14797;41;470
512x512;59987;211;1192
128x128;3644;9;236
128x128;3970;3;209
512x512;58346;181;1264
256x256;15398;42;379
128x128;4105;9;234
128x128;3632;4;213
256x256;15363;37;473
256x256;15226;24;451
256x256;14645;28;354
512x512;58609;196;1206
256x256;15071;41;367
128x128;3681;10;249
256x256;14534;34;398
256x256;14700;21;364
512x512;59571;195;1443
128x128;3635;8;208
128x128;4077;4;207
256x256;15841;37;365
512x512;58437;199;1227
256x256;14900;54;446
512x512;60231;221;1640
256x256;15242;45;481
256x256;14913;34;381
512x512;59535;258;1687
256x256;14831;43;435
256x256;14822;19;380
128x128;3708;9;191
128x128;3646;4;175
512x512;59306;192;1337
512x512;59349;191;1444
256x256;14655;59;383
512x512;58564;261;1386
512x512;59036;186;1108
512x512;58871;186;1764
256x256;14885;43;447
512x512;59517;187;1296
512x512;59560;191;1486
256x256;14728;36;413
256x256;14704;15;395
128x128;3652;9;232
256x256;14763;33;427
512x512;59335;208;1537
128x128;3666;8;247
256x256;14892;39;422
128x128;3857;9;244
256x256;14510;19;359
128x128;3612;4;337
256x256;15068;31;397
512x512;58331;187;1349
256x256;15010;45;464
512x512;59074;202;1257
256x256;14870;40;381
512x512;58529;239;1678
256x256;14720;42;415
128x128;3649;9;242
256x256;14755;39;635
512x512;59788;181;1246
512x512;57233;282;1584
512x512;59072;194;1263
128x128;3881;9;212
512x512;58247;201;1465
512x512;58568;197;1501
128x128;3661;9;256
512x512;58636;206;1481
256x256;14709;52;386
512x512;58632;199;1393
512x512;60295;198;1448
512x512;59751;195;1554
256x256;14554;41;426
512x512;59181;179;1330
128x128;3872;10;280
512x512;60319;190;1428
256x256;14656;46;508
128x128;3622;8;226
256x256;15749;23;364
512x512;58849;169;1195
256x256;14895;44;413
128x128;3811;13;214
512x512;58761;221;1607
128x128;3822;9;260
256x256;14495;35;395
128x128;3642;7;214
256x256;14747;21;372
512x512;58308;199;1401
256x256;14343;44;452
512x512;58396;183;1409
256x256;14437;51;456
512x512;59111;190;1307
256x256;15114;43;440
128x128;3605;8;227
128x128;3571;2;229
512x512;58126;202;1272
512x512;57708;174;1369
256x256;14880;46;486
128x128;3631;8;217
256x256;14633;35;382
128x128;3643;7;254
128x128;3880;3;227
512x512;58629;185;1253
256x256;14987;42;396
128x128;3710;9;287
256x256;14773;31;374
128x128;3643;8;221
256x256;15141;30;410
128x128;3620;7;221
128x128;3554;3;249
512x512;59389;194;1308
128x128;3904;9;240
128x128;3855;3;242
128x128;3717;3;232
128x128;3701;3;236
512x512;59668;182;1428
128x128;3667;9;236
512x512;58556;191;1217
128x128;3649;9;250
512x512;59268;186;1457
256x256;14603;51;482
128x128;3768;8;226
128x128;3612;2;237
256x256;14745;34;356
256x256;14398;53;545
512x512;59905;193;1120
128x128;3874;9;322
128x128;3700;3;243
128x128;3862;3;215
256x256;14453;34;367
128x128;3618;7;201
128x128;3617;3;203
256x256;14938;18;357
128x128;3640;6;213
128x128;3696;4;190
256x256;14745;29;401
512x512;57746;202;1383
256x256;14398;39;425
512x512;60190;188;1411
128x128;3656;8;230
128x128;4110;4;229
256x256;14694;39;370
128x128;3757;6;216
128x128;3651;2;228
512x512;59101;178;1536
