Size;Generation(µs);ToString(µs);ToRedis(µs)
256x256;20392;3853;1652
512x512;79738;14983;2137
1024x1024;309771;58034;9113
256x256;18745;3641;844
1024x1024;307127;57347;8892
2048x2048;1234787;238293;39419
512x512;74629;14530;3238
256x256;18805;3622;346
1024x1024;298171;57572;8990
2048x2048;1233167;238285;38013
1024x1024;298212;63960;11652
128x128;4920;934;751
128x128;4804;933;182
512x512;77059;14751;2320
128x128;4762;898;173
256x256;18821;3624;422
512x512;76243;14645;1177
1024x1024;311044;61521;9163
128x128;4840;930;691
512x512;81089;15251;1912
128x128;4956;971;227
512x512;78781;14960;776
512x512;78347;15093;1134
512x512;77904;15445;1357
1024x1024;319688;59699;10576
256x256;19783;3803;958
256x256;19601;3718;334
2048x2048;1256095;243575;38327
1024x1024;296284;59075;11022
256x256;18801;3551;878
1024x1024;307381;63941;9698
128x128;4818;910;682
512x512;76443;14842;1656
512x512;75630;14298;643
128x128;4800;987;318
512x512;78634;14511;674
256x256;18990;3634;243
1024x1024;319656;59501;9036
128x128;4836;924;699
1024x1024;319851;60124;8992
256x256;19289;3713;907
2048x2048;1280552;242240;37922
2048x2048;1220482;238686;38988
256x256;18930;3558;2470
128x128;4728;906;183
2048x2048;1225558;238664;38038
2048x2048;1222224;241154;38690
1024x1024;297487;57491;10758
2048x2048;1230822;238815;38097
256x256;18675;3568;2431
1024x1024;300191;57024;9102
128x128;4738;922;847
512x512;75680;14213;2159
1024x1024;307328;57199;8677
256x256;18513;3548;871
256x256;18646;3550;297
128x128;4662;920;128
256x256;18411;3548;185
128x128;4597;892;124
1024x1024;307911;57610;8937
1024x1024;302796;56979;9240
512x512;74227;14259;2740
512x512;74971;14481;820
2048x2048;1231032;238924;37362
1024x1024;302604;59192;11163
2048x2048;1228005;238220;37771
256x256;18377;3546;2433
256x256;18894;3685;266
2048x2048;1222164;246977;39061
2048x2048;1276244;255463;47260
256x256;21156;4771;3100
1024x1024;323920;60186;9476
2048x2048;1283362;241551;36951
1024x1024;303058;57758;10615
512x512;75747;14866;3184
2048x2048;1296423;255821;38782
256x256;19703;3754;2377
128x128;4884;937;247
256x256;19475;3741;442
2048x2048;1267723;242271;37104
128x128;4735;907;2144
1024x1024;297627;58587;8793
128x128;4695;916;702
256x256;18725;3587;342
1024x1024;308311;57285;8883
128x128;4634;882;672
128x128;4628;886;139
256x256;19664;3633;253
2048x2048;1266379;237402;38218
512x512;74532;14526;3045
128x128;4715;908;277
128x128;4729;902;127
256x256;18930;3627;210
512x512;74721;15168;1009
512x512;74003;14474;1172
256x256;18407;3551;335
128x128;4648;886;424
1024x1024;297176;56977;8948
1024x1024;303720;57420;9381
256x256;18811;3636;886
