Size;Generation(µs);ToString(µs);ToRedis(µs)
256x256;25564;3610;1370
1024x1024;411202;58339;12216
2048x2048;1639170;235912;60967
256x256;25294;3663;3793
512x512;99419;14021;1866
512x512;99082;13995;2510
1024x1024;398917;55786;13068
256x256;25616;3469;1343
128x128;6149;878;227
2048x2048;1660915;238534;60092
512x512;101249;13941;4052
128x128;6409;870;454
512x512;99282;14045;1866
128x128;6255;869;265
256x256;25207;3476;859
512x512;99316;13919;1595
128x128;6264;869;258
128x128;6213;870;135
256x256;24817;3484;281
1024x1024;394890;55622;11840
512x512;98794;13868;3648
512x512;99165;13997;1099
2048x2048;1634700;236256;60877
128x128;6235;865;10355
128x128;6801;864;194
128x128;6253;865;336
512x512;100286;13942;1011
1024x1024;399000;55573;11994
512x512;99397;13925;3276
256x256;25041;3636;313
2048x2048;1641219;235476;57238
2048x2048;1635627;234257;66061
512x512;99847;13751;5082
128x128;6798;861;277
512x512;98593;13925;1306
512x512;101036;14029;1617
512x512;99810;13893;1703
256x256;24747;3461;321
256x256;25133;3481;256
256x256;25214;3461;282
1024x1024;398244;55494;12361
256x256;24811;3479;1557
1024x1024;408973;55749;12687
512x512;98325;14161;4058
256x256;25875;3447;721
128x128;6437;869;147
256x256;24900;3455;226
2048x2048;1646946;236697;63983
512x512;101649;13788;5068
1024x1024;393834;55319;13208
256x256;24843;3472;1243
512x512;99146;13937;3362
128x128;6409;869;274
1024x1024;409960;55994;11975
512x512;99819;13880;3754
1024x1024;404933;56134;12159
128x128;6286;871;1346
1024x1024;408112;55132;12662
2048x2048;1643831;234273;63464
256x256;24695;3491;3807
256x256;24985;3459;513
512x512;99930;13763;998
128x128;6252;1035;151
2048x2048;1634859;235205;61798
512x512;101329;13762;4230
128x128;6334;859;269
128x128;6333;859;341
256x256;24719;3451;511
128x128;6211;868;1919
1024x1024;398477;56064;13057
1024x1024;404859;56091;12862
128x128;6218;869;1211
2048x2048;1647611;236431;62631
1024x1024;399373;56617;15163
512x512;100824;14333;3929
256x256;25174;3473;729
256x256;25153;3497;440
1024x1024;407090;56634;12190
128x128;6226;869;1296
1024x1024;411602;55518;11871
256x256;25634;3706;1566
256x256;25777;3534;676
512x512;99514;13899;2928
2048x2048;1639964;237983;62883
512x512;99881;13888;8075
128x128;6223;868;415
1024x1024;402800;56491;14527
1024x1024;409763;57254;12856
256x256;25323;3482;1968
512x512;98983;13906;3554
128x128;6532;868;237
1024x1024;406793;57923;12757
256x256;25448;3500;1579
256x256;26753;3877;358
128x128;6179;863;237
128x128;6415;869;300
128x128;6276;864;97
128x128;6896;859;189
1024x1024;410102;56217;11520
2048x2048;1674340;236923;65696
512x512;108187;14331;4857
512x512;103999;14582;1069
512x512;100985;14382;2461
512x512;103505;15574;1079
128x128;6424;1264;230
1024x1024;411279;57532;11843
256x256;25420;3493;1192
1024x1024;416298;57043;13247
128x128;6497;864;1100
512x512;99804;13982;2566
256x256;24900;3466;316
1024x1024;409057;56139;12036
1024x1024;414501;56342;12923
128x128;6708;877;1414
512x512;101216;14019;2481
256x256;25032;3507;352
256x256;25169;3457;350
256x256;25246;3445;281
512x512;102099;13845;1198
2048x2048;1670939;243480;60346
2048x2048;1647400;240064;61464
128x128;6296;874;4422
1024x1024;407496;60038;12450
128x128;6678;1085;2045
256x256;25311;3533;626
256x256;25506;3501;499
128x128;6195;869;676
512x512;100224;14481;3351
128x128;6466;899;298
1024x1024;413463;59969;13072
1024x1024;457583;56506;13768
128x128;6660;886;1226
256x256;25957;3714;384
256x256;25611;3469;504
1024x1024;415140;55444;12861
2048x2048;1657406;236222;62608
512x512;100879;14074;4591
256x256;25611;3486;687
256x256;25314;3483;312
1024x1024;398903;55927;12634
1024x1024;410474;57186;13257
256x256;25361;3515;1371
2048x2048;1665621;237264;62824
2048x2048;1648691;253464;65849
128x128;6645;877;4158
512x512;102946;14198;1544
1024x1024;404255;56817;12316
256x256;25170;3537;1528
256x256;25748;3742;401
1024x1024;416177;57171;12367
256x256;25056;3529;1586
1024x1024;417965;57684;12773
256x256;25380;3502;1417
2048x2048;1679107;244325;63127
1024x1024;401134;56848;15581
1024x1024;412187;56212;12926
1024x1024;409928;56464;12919
1024x1024;416860;56477;12968
1024x1024;418156;56918;12995
256x256;25191;3494;1369
2048x2048;1655625;238595;62618
512x512;105782;14549;4351
128x128;6424;886;550
2048x2048;1676018;235919;59476
1024x1024;411113;56078;15863
512x512;98939;13942;3931
512x512;99770;14603;2528
2048x2048;1668198;240971;57238
1024x1024;399569;55962;15949
128x128;6175;873;1029
512x512;99612;14007;2584
2048x2048;1658437;237980;60918
256x256;24600;3575;6427
512x512;100970;14170;2632
512x512;101010;14144;998
256x256;26083;3520;545
2048x2048;1641219;234029;63035
1024x1024;400977;56920;14272
2048x2048;1665436;240755;61642
128x128;6264;887;4262
128x128;6375;869;222
128x128;6505;865;296
512x512;101949;14113;2721
2048x2048;1675965;238402;61124
1024x1024;398322;56677;14716
128x128;6529;869;1115
256x256;25287;3509;531
512x512;101146;14198;2406
128x128;6354;869;234
1024x1024;408035;57520;12397
1024x1024;411219;55901;13217
2048x2048;1666673;239138;58933
1024x1024;402122;56538;15071
1024x1024;407651;56499;13661
2048x2048;1658994;239689;60727
128x128;6191;860;4065
512x512;100609;13964;1739
512x512;100469;13838;1803
128x128;6270;859;979
2048x2048;1655235;240512;62085
512x512;101608;14276;5192
256x256;25997;3518;543
128x128;6310;879;124
2048x2048;1704688;255175;61072
2048x2048;1663495;239725;62730
128x128;6218;865;3926
128x128;6570;859;217
1024x1024;409487;57240;13677
1024x1024;417255;56476;12821
2048x2048;1675900;241005;63188
1024x1024;403669;56304;15146
512x512;101984;14498;3361
512x512;101887;14376;1534
2048x2048;1688789;241579;63351
1024x1024;402657;57061;14967
1024x1024;413781;56329;12290
256x256;24786;3497;1438
2048x2048;1655650;234517;60282
1024x1024;406052;57060;15386
256x256;25343;3436;2070
1024x1024;413887;56078;12346
2048x2048;1666658;238875;60063
256x256;25561;3717;6614
512x512;102549;14344;1875
1024x1024;405970;56809;12493
2048x2048;1699258;242116;60609
1024x1024;409002;62404;15006
2048x2048;1682682;244981;63912
128x128;6772;970;4701
256x256;27243;4172;622
128x128;6723;973;295
1024x1024;435320;59877;12443
2048x2048;1748870;242714;63331
128x128;6166;869;11668
1024x1024;417750;60843;12346
256x256;25246;3507;1318
128x128;6485;873;325
2048x2048;1736684;244563;65681
128x128;6301;905;5657
2048x2048;1699673;242477;59927
256x256;24943;3551;4614
2048x2048;1673737;239324;61134
1024x1024;405404;58109;15067
256x256;26016;3513;1229
2048x2048;1676377;235453;61193
2048x2048;1647588;236919;62616
512x512;101712;13766;4416
512x512;98849;13868;3398
128x128;6141;860;221
1024x1024;403825;59914;13245
128x128;6746;959;1122
1024x1024;415852;55503;11928
256x256;24960;3471;1566
1024x1024;419835;57818;13181
1024x1024;418291;55526;12821
1024x1024;411574;55360;13301
512x512;99295;13985;4448
256x256;27185;4110;657
128x128;6283;882;250
256x256;26411;3494;369
256x256;25865;3614;490
2048x2048;1669898;235319;58054
256x256;24918;3472;4337
2048x2048;1660917;236430;61982
512x512;99049;13886;3944
256x256;24847;3456;703
256x256;26014;3483;433
256x256;25358;3537;319
512x512;99830;14055;1027
1024x1024;405750;57551;13269
512x512;99689;13956;4978
256x256;25236;3465;751
2048x2048;1651518;236438;63737
1024x1024;434593;57835;15207
2048x2048;1671061;240869;63210
128x128;6464;882;8872
128x128;6397;874;164
128x128;6296;883;181
128x128;6760;869;662
1024x1024;410052;57282;11999
256x256;26191;3495;1527
1024x1024;428634;57510;12255
128x128;6205;869;1213
1024x1024;415180;57504;12357
2048x2048;1661944;241031;61331
512x512;100279;14051;4112
1024x1024;401955;56529;12174
128x128;6203;868;1380
2048x2048;1666299;239345;61456
128x128;6285;869;5877
2048x2048;1651852;239994;63470
1024x1024;403957;58212;15813
512x512;100277;14045;3830
1024x1024;410066;56180;12791
256x256;24793;3480;1489
128x128;6188;862;284
512x512;99858;14157;2792
128x128;6279;877;219
2048x2048;1654000;246266;63112
2048x2048;1653795;240154;61551
512x512;102417;14443;3837
512x512;100472;14046;1893
256x256;26044;3510;836
2048x2048;1650911;235426;62528
256x256;24955;3464;3669
128x128;6824;878;231
128x128;6626;1074;237
256x256;24762;3962;562
2048x2048;1633144;239162;61912
1024x1024;402034;55527;15003
512x512;99814;14069;3989
512x512;99082;13852;1908
1024x1024;406082;55528;11735
512x512;100464;13839;4006
128x128;6512;861;445
256x256;25508;3485;988
2048x2048;1657004;235150;60295
256x256;25064;3462;5577
512x512;100873;13983;2219
512x512;99933;14257;962
512x512;99245;13789;1562
128x128;6621;868;134
512x512;100020;14023;931
512x512;99707;14014;996
256x256;24990;3493;513
1024x1024;397964;56366;12224
256x256;24768;3489;1449
2048x2048;1664864;236213;61603
128x128;6239;867;5769
256x256;25881;3454;653
1024x1024;406503;56835;12394
1024x1024;409848;55759;13330
128x128;6318;900;1183
1024x1024;413940;56698;11658
2048x2048;1670327;235265;61371
128x128;6420;1015;3026
256x256;25765;3578;541
2048x2048;1672906;241493;60923
128x128;6358;1057;3048
1024x1024;404105;55699;11497
512x512;100345;13833;3611
2048x2048;1659651;235219;60729
2048x2048;1668052;242602;61383
1024x1024;406089;56424;14211
256x256;25306;3706;1298
2048x2048;1688541;242423;60195
128x128;6926;989;5731
1024x1024;407122;57800;11537
2048x2048;1671294;241097;62920
512x512;103179;15151;4813
128x128;6427;872;469
128x128;6330;884;216
2048x2048;1662353;242430;66777
512x512;101308;14366;4486
128x128;6554;875;412
1024x1024;405011;58262;13062
512x512;101333;13842;3804
256x256;25580;3503;639
512x512;99379;13911;1577
2048x2048;1704688;265539;65310
512x512;107233;14778;4471
1024x1024;406725;56316;12765
128x128;6582;869;1273
2048x2048;1701252;237369;62125
2048x2048;1669951;237460;60865
128x128;6565;872;2533
512x512;103054;14625;1182
2048x2048;1674078;237287;61889
1024x1024;407627;60483;16364
256x256;25347;3487;1764
256x256;25205;3512;459
1024x1024;417719;57527;12291
2048x2048;1693149;247528;61950
128x128;6290;869;5174
128x128;6653;888;192
1024x1024;419529;59828;12510
128x128;6512;1006;1414
128x128;6455;879;253
2048x2048;1701805;244144;63260
2048x2048;1675632;248897;65876
128x128;6824;919;8393
512x512;104351;14246;1729
256x256;26156;3782;490
1024x1024;417005;59505;12821
128x128;6353;874;1669
1024x1024;422949;58293;12059
2048x2048;1710926;248448;64548
128x128;6601;903;4923
512x512;113390;14354;1373
1024x1024;418289;57097;12137
1024x1024;422871;58033;13298
2048x2048;1700061;245971;60397
128x128;6360;881;12655
512x512;102418;14171;2034
2048x2048;1687580;241850;65399
256x256;26603;3520;3480
512x512;102653;13805;2810
2048x2048;1681307;246119;62703
