Size;Generation(µs);Serialization(µs);ToRedis(µs)
512x512;57870;158;6247
512x512;57918;180;3361
512x512;59027;148;4466
512x512;58015;171;3848
256x256;14851;38;849
128x128;3596;8;151
256x256;14895;28;275
256x256;14364;13;289
128x128;3619;4;138
512x512;57785;166;3307
512x512;57669;161;3615
512x512;57885;162;3577
128x128;3601;8;229
128x128;3599;3;157
128x128;3856;2;146
256x256;15230;38;691
128x128;3584;4;148
512x512;58331;156;3101
512x512;57780;141;3595
128x128;3625;8;231
256x256;14495;58;702
512x512;57869;161;3000
512x512;57490;116;3552
128x128;3634;8;218
512x512;57775;137;3541
512x512;57508;160;3483
128x128;3610;8;288
256x256;14475;39;672
128x128;3624;7;142
256x256;14474;13;226
512x512;57737;154;3110
512x512;57443;174;3423
512x512;57720;172;3703
128x128;3610;11;226
512x512;57412;158;3590
128x128;3603;8;220
512x512;57859;188;3488
512x512;57627;139;3537
256x256;14413;36;753
512x512;58123;181;4429
256x256;14400;37;754
128x128;3669;9;135
512x512;58545;176;3487
256x256;14363;36;923
256x256;14400;13;253
256x256;14457;11;237
256x256;14309;11;226
128x128;3611;8;137
256x256;14417;12;243
256x256;14329;11;224
512x512;57629;165;3129
512x512;57622;165;4112
512x512;58245;158;3662
256x256;14417;37;779
512x512;57893;146;3120
256x256;14784;37;807
512x512;57791;188;3203
128x128;3616;8;209
128x128;3617;7;123
512x512;57567;156;3469
256x256;14507;36;767
128x128;3598;8;86
256x256;14411;14;259
512x512;57879;156;3053
128x128;3646;9;216
512x512;57805;150;3596
128x128;3644;8;197
512x512;57573;136;3617
128x128;3672;8;218
256x256;14458;38;678
128x128;3608;5;119
128x128;3586;2;128
128x128;3619;2;121
512x512;57514;163;3212
512x512;58096;147;3876
128x128;4017;16;311
128x128;4072;4;110
256x256;14741;55;814
512x512;57972;158;3144
128x128;3606;8;301
512x512;58236;151;3498
512x512;57821;115;3506
128x128;3597;9;221
256x256;14428;38;786
256x256;14466;23;290
256x256;14379;17;234
512x512;57933;164;3214
128x128;3602;9;200
256x256;14435;40;667
512x512;57904;166;3252
128x128;3595;9;199
128x128;3593;3;102
256x256;14429;36;670
512x512;57684;165;2989
512x512;57543;159;3568
256x256;14407;39;986
512x512;57900;155;3178
256x256;14450;42;835
512x512;57792;216;3375
512x512;58458;284;3442
256x256;14482;36;747
256x256;14455;14;310
256x256;14434;13;298
256x256;14388;12;240
256x256;14432;11;241
512x512;58261;168;3119
256x256;14397;36;1023
128x128;3581;8;131
128x128;3917;5;121
256x256;14946;16;336
128x128;3630;4;129
256x256;14449;24;320
512x512;57401;154;2927
256x256;14480;37;823
128x128;3618;8;115
128x128;3615;3;117
512x512;58345;158;3157
256x256;14454;39;856
512x512;58187;171;3162
128x128;3637;8;230
256x256;14464;36;673
512x512;57311;159;3682
512x512;57759;163;3586
256x256;14475;40;836
512x512;57523;151;3216
128x128;3629;8;217
256x256;14464;33;682
128x128;3604;5;139
512x512;58315;145;3144
256x256;14411;39;805
256x256;14357;15;244
512x512;57769;155;3202
256x256;14501;39;876
128x128;3569;9;118
128x128;3649;3;167
256x256;14500;20;261
256x256;14317;12;252
512x512;57590;169;3249
128x128;3582;7;230
256x256;14347;36;782
128x128;3632;4;146
256x256;14372;13;229
128x128;3575;4;132
512x512;57683;170;3184
256x256;14476;42;857
512x512;57400;153;3073
128x128;3658;9;207
256x256;14460;39;699
128x128;3622;6;122
512x512;58352;198;3219
128x128;3624;8;206
128x128;3568;4;135
256x256;14824;40;729
256x256;14454;15;262
128x128;3590;6;180
512x512;57922;167;3621
256x256;14495;43;1014
512x512;57672;163;3308
512x512;57703;120;3473
256x256;14461;38;749
256x256;14407;18;243
512x512;58733;157;3426
128x128;3902;9;239
128x128;3785;3;357
512x512;57767;161;3430
256x256;14444;37;823
256x256;14306;13;231
512x512;57540;138;3059
256x256;14383;31;791
512x512;58398;179;2971
256x256;14388;39;814
512x512;59176;146;3176
512x512;57445;145;3523
512x512;57824;115;3532
128x128;3793;7;222
256x256;14877;37;776
512x512;57891;159;3159
128x128;3626;8;222
128x128;3565;3;112
128x128;3599;2;134
256x256;14455;37;682
512x512;57369;188;3436
128x128;3627;8;253
512x512;58520;179;3456
128x128;3589;8;226
256x256;14728;36;690
256x256;14431;12;234
512x512;57789;184;3230
256x256;14465;38;1005
512x512;57980;179;3485
128x128;3743;8;208
128x128;3730;11;115
128x128;3624;2;84
128x128;3604;11;107
128x128;3835;3;117
512x512;57774;209;3567
128x128;3609;7;204
128x128;3647;6;116
512x512;59245;154;3490
128x128;3652;9;272
512x512;57789;170;3511
256x256;14482;46;835
512x512;57474;142;3031
512x512;57762;126;3506
256x256;14420;40;744
512x512;57236;160;3134
512x512;58192;141;3435
256x256;14487;36;748
256x256;14350;14;238
128x128;3642;9;129
256x256;14431;11;249
512x512;57425;147;3077
512x512;57888;179;3872
256x256;14741;52;868
512x512;57365;178;3154
128x128;3591;8;203
512x512;58288;185;3489
512x512;57304;124;3609
512x512;57923;169;3584
256x256;14456;35;742
512x512;57387;154;3067
512x512;57672;114;3561
256x256;14478;41;838
128x128;3609;7;139
256x256;14650;37;359
128x128;3621;14;123
512x512;57597;165;3222
256x256;14432;50;799
128x128;3649;9;115
512x512;57382;164;3152
128x128;3635;8;190
512x512;57728;133;3351
128x128;3625;8;196
128x128;3596;3;97
128x128;3593;2;98
256x256;14365;38;638
512x512;57550;208;3143
128x128;3629;8;208
256x256;14530;39;698
512x512;58430;171;3190
128x128;3658;8;240
128x128;3568;3;156
128x128;3636;3;129
512x512;57865;200;3375
512x512;57459;243;3863
512x512;58140;184;3691
128x128;3592;8;199
256x256;15181;36;683
128x128;3595;7;150
128x128;3838;3;141
256x256;14645;26;290
512x512;57719;151;3180
512x512;57747;156;3614
128x128;3578;8;416
256x256;14545;38;674
256x256;14456;15;256
512x512;57613;188;3142
128x128;3588;8;199
256x256;14453;37;674
512x512;57303;172;3011
128x128;3637;9;218
256x256;14624;36;758
256x256;14639;15;223
128x128;3680;6;121
256x256;14768;11;228
256x256;14626;38;349
256x256;14960;41;341
128x128;3771;9;120
512x512;57458;168;3233
512x512;58377;275;4292
512x512;57686;164;3573
128x128;3575;8;222
128x128;3645;3;128
256x256;14457;37;676
256x256;14410;38;339
512x512;58314;175;3231
512x512;57835;157;3570
512x512;58114;236;3829
128x128;3758;9;220
128x128;3784;7;158
256x256;14968;37;674
512x512;58250;241;3762
256x256;14864;38;822
128x128;3898;7;123
128x128;3594;5;122
512x512;58841;154;3079
512x512;57989;214;4025
256x256;14357;40;794
512x512;58598;200;3225
512x512;57481;168;3707
128x128;3610;7;225
512x512;57998;177;3901
256x256;15019;39;792
512x512;57634;167;3177
256x256;14402;37;785
256x256;14363;12;202
512x512;57648;182;3207
512x512;57805;151;3555
512x512;57576;158;3549
512x512;57703;117;3506
256x256;14479;45;872
256x256;14351;13;236
