Size;FromRedis(µs);Parse(µs)
512x512;3169;490
512x512;2502;233
512x512;2741;234
512x512;2764;233
512x512;2915;279
256x256;893;213
512x512;1982;233
256x256;957;253
512x512;1975;238
256x256;996;212
512x512;2108;239
512x512;2979;233
512x512;2758;235
128x128;535;208
128x128;135;208
512x512;2358;231
512x512;2892;232
512x512;2817;242
256x256;1058;213
128x128;131;208
512x512;2409;232
256x256;947;217
512x512;2014;268
128x128;601;208
256x256;628;211
512x512;2131;283
512x512;2940;293
512x512;2746;236
256x256;937;213
128x128;135;208
256x256;209;209
128x128;144;217
256x256;272;246
256x256;224;256
512x512;2015;241
512x512;2822;237
512x512;2776;232
512x512;3107;239
128x128;633;211
128x128;134;250
512x512;2603;237
256x256;1050;218
128x128;148;210
512x512;2165;238
512x512;2723;243
256x256;942;213
256x256;236;210
256x256;225;210
256x256;214;215
256x256;271;231
256x256;269;238
512x512;2006;232
512x512;2778;233
256x256;987;212
256x256;274;224
256x256;213;209
128x128;156;207
128x128;135;211
128x128;132;208
256x256;267;232
128x128;142;208
512x512;2203;246
512x512;3225;235
512x512;3120;235
512x512;2745;232
512x512;2840;233
512x512;2757;233
256x256;938;213
512x512;2039;232
512x512;2785;289
128x128;580;212
256x256;607;211
512x512;2018;232
256x256;1221;228
512x512;2071;234
128x128;646;215
128x128;113;212
256x256;545;222
256x256;221;212
256x256;203;209
256x256;216;218
128x128;147;208
256x256;291;232
512x512;2265;241
128x128;631;219
128x128;133;208
128x128;102;218
256x256;552;209
256x256;230;212
128x128;135;208
512x512;2065;245
512x512;2753;233
256x256;992;215
256x256;202;211
128x128;135;239
128x128;178;255
128x128;207;219
512x512;2408;241
512x512;2849;252
512x512;2730;232
256x256;1061;228
256x256;298;235
512x512;2255;240
256x256;1190;270
512x512;2002;233
512x512;2716;232
256x256;964;212
512x512;1991;235
256x256;1004;213
512x512;2003;233
512x512;2748;233
512x512;2772;231
512x512;2816;234
256x256;930;211
128x128;130;208
128x128;149;207
256x256;266;216
512x512;2081;232
512x512;2759;233
512x512;2757;233
256x256;939;211
128x128;167;207
128x128;189;234
512x512;2045;232
512x512;2891;235
512x512;2797;232
256x256;963;223
256x256;230;210
256x256;211;210
512x512;2093;233
256x256;1286;229
512x512;1931;249
512x512;2701;232
256x256;1028;227
128x128;123;216
256x256;322;222
512x512;2000;233
512x512;2997;234
512x512;2913;234
512x512;2834;233
256x256;1040;250
128x128;146;215
512x512;2347;235
512x512;2819;232
256x256;1087;235
512x512;2085;242
256x256;1006;214
256x256;259;220
128x128;148;212
256x256;191;210
512x512;1995;265
512x512;2955;231
256x256;932;211
128x128;145;207
128x128;107;207
128x128;140;248
128x128;138;214
256x256;232;243
512x512;1940;243
256x256;1065;227
128x128;93;220
128x128;146;208
256x256;232;210
256x256;188;211
512x512;2103;234
512x512;2913;273
256x256;975;210
512x512;2067;232
512x512;3225;238
512x512;2825;237
512x512;2954;236
512x512;2814;276
256x256;1097;215
256x256;230;212
256x256;264;230
256x256;241;223
256x256;254;220
128x128;130;207
128x128;127;212
512x512;2050;232
512x512;2811;233
512x512;2732;233
256x256;914;212
128x128;74;207
128x128;131;207
256x256;211;226
128x128;135;207
256x256;225;214
512x512;2071;232
512x512;2804;233
