Size;Generation(µs);Serialization(µs);ToRedis(µs)
512x512;24783;269;4346
128x128;1665;8;242
512x512;27901;315;2246
512x512;24247;193;1339
128x128;1589;9;254
128x128;1597;4;246
256x256;5986;37;453
256x256;6117;18;325
512x512;24065;181;1200
256x256;6147;33;440
512x512;24117;178;1087
128x128;1584;8;199
128x128;1598;3;193
256x256;5974;36;458
128x128;1549;3;161
512x512;24328;240;1141
128x128;1496;8;150
512x512;24196;201;1217
512x512;24439;195;1647
256x256;6161;39;429
256x256;6183;17;270
512x512;24056;171;1129
256x256;6032;33;506
128x128;1591;8;266
512x512;24049;172;1128
256x256;6152;47;342
512x512;24220;190;1193
128x128;1481;8;109
512x512;24138;198;1221
128x128;1556;8;229
256x256;5977;38;424
256x256;6178;16;339
512x512;24244;188;1206
256x256;6085;41;741
128x128;1604;8;223
128x128;1588;4;206
512x512;23955;181;1075
512x512;24093;171;1360
128x128;1526;9;165
128x128;1579;5;202
128x128;1599;3;252
512x512;24076;181;1305
512x512;24612;193;1330
256x256;5979;39;409
128x128;1600;8;245
256x256;6021;16;345
256x256;6134;15;401
128x128;1546;37;153
128x128;1544;3;132
512x512;24376;193;1116
512x512;24006;203;1455
512x512;24208;174;1027
128x128;1590;8;247
512x512;24017;151;1140
256x256;6303;39;437
256x256;6174;17;511
512x512;24027;167;1083
256x256;6032;34;418
128x128;1554;8;182
256x256;6077;16;452
256x256;6221;16;341
256x256;6144;16;370
256x256;6130;17;325
512x512;24073;167;1024
256x256;6246;28;397
512x512;24163;171;1581
512x512;24069;164;1119
128x128;1588;9;213
256x256;6027;37;461
128x128;1589;4;271
512x512;23987;165;1236
256x256;6013;32;535
512x512;24412;160;1233
512x512;23849;144;1061
256x256;5961;37;422
256x256;6163;19;512
128x128;1553;8;245
256x256;6072;17;511
256x256;6204;19;429
512x512;24135;171;1077
128x128;1584;8;242
512x512;23873;163;1273
128x128;1526;7;150
512x512;24010;146;1187
512x512;24164;179;1324
256x256;6128;38;426
512x512;24046;163;1375
256x256;5994;32;466
256x256;6148;16;604
128x128;1553;8;156
128x128;1584;3;174
512x512;23941;158;1170
256x256;6019;33;428
256x256;6171;18;434
256x256;6143;17;484
512x512;24179;165;1218
512x512;23951;193;965
256x256;6127;38;282
512x512;24086;169;1132
256x256;5955;35;419
256x256;6170;19;472
256x256;6156;17;350
128x128;1605;8;139
512x512;24076;169;1388
256x256;6208;34;451
256x256;6120;21;418
256x256;6184;17;371
128x128;1571;8;254
128x128;1589;4;250
128x128;1592;4;250
512x512;24096;180;1137
512x512;23776;171;1079
128x128;1544;8;256
512x512;23934;149;1342
256x256;6009;37;489
512x512;24040;153;1153
128x128;1495;8;172
512x512;23872;156;1380
256x256;6143;37;467
128x128;1573;7;199
256x256;6086;16;410
512x512;23988;160;1254
128x128;1542;7;252
128x128;1528;4;288
256x256;5981;31;786
512x512;24129;155;1349
256x256;6170;32;369
256x256;6277;17;408
512x512;24065;172;858
256x256;6114;32;439
256x256;6193;16;368
128x128;1551;8;177
128x128;1597;4;238
512x512;24160;168;1189
512x512;23854;154;1062
128x128;1476;8;124
512x512;24312;170;1012
256x256;6103;37;345
512x512;24177;439;1818
512x512;24793;211;1294
512x512;24131;160;1185
256x256;6028;40;502
256x256;6175;16;590
512x512;24098;158;1412
256x256;6287;32;383
256x256;6195;16;477
512x512;24072;169;1153
128x128;1516;8;134
512x512;23975;181;942
512x512;24097;154;1429
256x256;6046;37;376
256x256;6242;16;371
128x128;1589;8;242
256x256;6047;16;460
512x512;24264;162;1383
128x128;1542;7;228
512x512;24196;185;1896
128x128;1527;8;170
512x512;24000;169;1319
256x256;6104;38;429
512x512;24314;161;1508
128x128;1535;8;219
512x512;23946;149;1456
256x256;6257;37;443
128x128;1578;7;237
256x256;6233;22;424
256x256;6244;16;381
512x512;24145;171;1298
256x256;6156;31;398
128x128;1559;8;213
256x256;6019;17;773
128x128;1582;4;248
256x256;6101;16;438
256x256;6160;16;336
128x128;1548;3;242
128x128;1542;4;181
128x128;1584;4;239
256x256;6251;16;457
512x512;24168;176;1299
512x512;23946;158;1206
256x256;6214;39;428
256x256;6301;18;391
128x128;1615;8;107
256x256;5994;17;461
128x128;1547;4;201
128x128;1609;3;232
512x512;24088;171;1474
512x512;23858;182;1335
256x256;6036;38;451
256x256;6177;17;423
