Size;Generation(µs);Serialization(µs);ToRedis(µs)
128x128;94;10;486
128x128;87;4;79
128x128;57;3;65
128x128;57;3;22
128x128;57;3;21
128x128;57;3;24
128x128;80;3;77
128x128;57;3;73
128x128;57;3;23
128x128;57;3;21
128x128;57;3;25
128x128;57;3;22
128x128;57;3;23
128x128;57;3;22
128x128;57;3;22
128x128;57;3;23
128x128;71;3;64
128x128;57;3;51
128x128;57;3;81
128x128;57;3;121
128x128;76;3;66
128x128;88;3;25
128x128;57;3;24
128x128;75;3;26
128x128;105;3;45
128x128;57;3;25
128x128;57;3;22
128x128;57;3;21
128x128;57;3;73
128x128;57;3;69
128x128;57;3;69
128x128;57;3;31
128x128;57;3;24
128x128;90;3;74
128x128;57;3;56
128x128;57;3;53
128x128;57;3;21
128x128;57;3;23
128x128;57;3;21
128x128;76;3;21
128x128;57;3;21
128x128;57;3;21
128x128;57;3;24
128x128;95;3;84
128x128;57;3;23
128x128;57;3;22
128x128;57;3;21
128x128;57;3;23
128x128;57;3;24
128x128;57;3;21
128x128;57;3;21
128x128;57;3;21
128x128;57;3;24
128x128;57;3;32
128x128;90;3;28
128x128;57;3;21
128x128;57;3;21
128x128;57;3;20
128x128;57;3;23
128x128;57;3;21
128x128;57;3;20
128x128;57;3;21
128x128;57;3;21
128x128;57;3;23
128x128;77;3;36
128x128;57;4;39
128x128;57;3;24
128x128;57;3;22
128x128;57;3;39
128x128;90;3;58
128x128;74;3;45
128x128;74;5;50
128x128;74;3;46
128x128;59;3;30
128x128;73;4;47
128x128;74;4;101
128x128;57;3;52
128x128;72;3;43
128x128;91;3;99
128x128;57;3;31
128x128;82;3;27
128x128;66;3;65
128x128;72;3;40
128x128;73;3;85
128x128;73;3;43
128x128;73;3;99
128x128;57;3;53
128x128;90;3;36
128x128;59;3;40
128x128;72;3;55
128x128;57;3;55
128x128;57;3;57
128x128;57;3;22
128x128;57;3;22
128x128;57;3;56
128x128;57;3;21
128x128;57;3;24
128x128;74;3;24
128x128;61;3;41
128x128;91;3;26
128x128;97;3;81
128x128;106;3;39
128x128;59;3;29
128x128;59;3;36
128x128;59;3;27
128x128;72;3;24
128x128;84;3;35
128x128;71;5;66
128x128;57;3;27
128x128;57;3;32
128x128;57;3;26
128x128;57;3;22
128x128;57;3;22
128x128;57;3;21
128x128;57;3;59
128x128;57;3;33
128x128;57;3;26
128x128;93;3;30
128x128;57;3;24
128x128;57;3;23
128x128;57;3;21
128x128;57;3;21
128x128;57;3;21
128x128;57;3;21
128x128;57;3;24
128x128;57;3;24
128x128;57;3;25
128x128;57;3;24
128x128;99;3;26
128x128;57;3;22
128x128;57;3;21
128x128;57;3;21
128x128;57;3;22
128x128;57;3;25
128x128;57;3;25
128x128;57;3;24
128x128;57;3;24
128x128;57;3;22
128x128;57;3;25
128x128;63;3;78
128x128;71;3;22
128x128;57;3;26
128x128;57;3;25
128x128;57;3;21
128x128;57;3;21
128x128;57;3;22
128x128;57;3;26
128x128;57;3;25
128x128;57;3;24
128x128;57;3;24
128x128;82;3;30
128x128;72;3;26
128x128;57;3;23
128x128;57;3;73
128x128;57;3;31
128x128;57;3;23
128x128;57;3;22
128x128;57;3;25
128x128;57;3;24
128x128;57;3;25
128x128;57;3;27
128x128;91;3;25
128x128;57;3;21
128x128;57;3;24
128x128;57;3;25
128x128;57;3;23
128x128;57;3;21
128x128;57;3;21
128x128;57;3;23
128x128;57;3;24
128x128;57;3;21
128x128;57;3;24
128x128;95;3;25
128x128;57;3;21
128x128;57;3;21
128x128;57;3;23
128x128;57;3;24
128x128;57;3;24
128x128;57;3;24
128x128;57;3;23
128x128;57;3;22
128x128;57;3;24
128x128;57;3;24
128x128;59;3;106
128x128;57;3;35
128x128;57;3;79
128x128;73;5;38
128x128;57;3;25
128x128;57;3;23
128x128;57;3;25
128x128;57;3;25
128x128;57;3;23
128x128;57;3;29
128x128;91;3;28
128x128;57;3;22
128x128;57;3;65
