Size;Validation(µs)
128x128;215
128x128;122
256x256;3446
256x256;3674
256x256;3471
128x128;109
128x128;103
128x128;89
128x128;77
256x256;3924
256x256;3475
512x512;16551
128x128;103
512x512;16343
512x512;17108
256x256;3700
512x512;17143
512x512;16849
128x128;69
256x256;3461
128x128;59
512x512;16476
512x512;16950
512x512;16610
256x256;3440
128x128;63
256x256;3923
128x128;73
128x128;79
256x256;3354
128x128;100
512x512;16503
128x128;102
256x256;3208
512x512;16778
512x512;16535
128x128;87
512x512;16472
512x512;17054
256x256;3872
128x128;72
128x128;72
512x512;16520
256x256;3622
512x512;16613
128x128;55
256x256;3805
512x512;16493
512x512;16626
128x128;74
256x256;3175
512x512;16619
128x128;99
256x256;3210
256x256;3855
128x128;93
256x256;3920
512x512;17152
128x128;71
512x512;16825
256x256;3906
512x512;16565
256x256;3354
512x512;16553
512x512;16914
512x512;16631
256x256;3391
128x128;83
128x128;37
128x128;96
512x512;16614
128x128;66
512x512;16837
512x512;16934
256x256;3718
256x256;3785
128x128;93
512x512;16666
256x256;3703
512x512;16944
512x512;16862
512x512;16616
512x512;16328
128x128;87
512x512;16905
128x128;33
128x128;97
512x512;16342
256x256;3650
256x256;3661
256x256;3439
256x256;3666
256x256;3378
256x256;3633
128x128;82
128x128;83
512x512;16412
256x256;3666
256x256;3472
128x128;82
128x128;66
256x256;3643
512x512;16357
512x512;16885
256x256;3692
256x256;3787
512x512;16723
128x128;94
128x128;79
512x512;16930
256x256;3462
512x512;16479
128x128;169
256x256;3718
256x256;3366
128x128;82
512x512;16643
256x256;3442
512x512;16432
128x128;86
128x128;80
128x128;40
256x256;3875
128x128;61
512x512;16472
256x256;3673
256x256;3070
512x512;16414
512x512;17162
128x128;64
512x512;16578
512x512;16855
128x128;20
512x512;16698
128x128;92
256x256;3657
512x512;16823
256x256;3706
256x256;3773
128x128;69
512x512;16856
256x256;3116
256x256;3630
256x256;3623
128x128;88
512x512;16298
128x128;73
128x128;69
256x256;3501
256x256;3685
256x256;3427
128x128;36
256x256;3180
512x512;16327
128x128;78
512x512;16628
256x256;3131
256x256;3644
256x256;3140
128x128;90
128x128;67
256x256;3740
512x512;16418
128x128;71
128x128;75
128x128;69
256x256;3737
512x512;16593
512x512;16528
512x512;16305
256x256;3901
128x128;78
128x128;79
256x256;3377
128x128;80
256x256;3281
256x256;3834
512x512;17009
512x512;16386
128x128;41
256x256;3197
256x256;3364
512x512;16739
512x512;16324
512x512;16355
512x512;16320
512x512;17127
512x512;16334
512x512;16856
512x512;16893
128x128;64
256x256;3680
256x256;3723
256x256;3387
128x128;80
128x128;75
256x256;3911
512x512;16619
128x128;85
128x128;40
512x512;16881
128x128;86
256x256;3130
256x256;3756
128x128;68
128x128;93
512x512;16592
128x128;87
256x256;3588
512x512;16812
512x512;16644
128x128;79
512x512;16365
512x512;16626
256x256;3380
512x512;17011
128x128;98
512x512;16844
128x128;17
256x256;3348
256x256;3856
512x512;16824
128x128;74
