Size;Generation(µs);Sending(µs)
128x128;1466;296
128x128;1460;180
256x256;6022;3488
256x256;6082;3714
256x256;6250;3584
128x128;1533;174
128x128;1530;173
128x128;1499;170
128x128;1483;114
256x256;5991;3954
256x256;6072;3486
512x512;23307;16593
128x128;1476;109
512x512;23646;16380
512x512;23769;17140
256x256;5867;3735
512x512;23732;17194
512x512;23546;16883
128x128;1484;149
256x256;5883;3510
128x128;1494;123
512x512;23370;16542
512x512;23562;16964
512x512;23503;16690
256x256;5890;3491
128x128;1466;108
256x256;5914;3945
128x128;1466;115
128x128;1472;110
256x256;5896;3418
128x128;1480;109
512x512;23525;16573
128x128;1478;113
256x256;5869;3226
512x512;23623;16827
512x512;23185;16603
128x128;1491;112
512x512;23224;16570
512x512;24125;17080
256x256;5882;3913
128x128;1478;111
128x128;1486;107
512x512;23644;16502
256x256;5988;3666
512x512;23620;16693
128x128;1464;155
256x256;6059;3850
512x512;23510;16541
512x512;23815;16693
128x128;1470;110
256x256;5890;3229
512x512;23557;16669
128x128;1482;113
256x256;5903;3191
256x256;5921;3878
128x128;1458;117
256x256;5886;3947
512x512;23380;17157
128x128;1478;114
512x512;23520;16857
256x256;5891;3943
512x512;23205;16645
256x256;5786;3425
512x512;23045;16567
512x512;23508;16969
512x512;23604;16698
256x256;5890;3476
128x128;1553;109
128x128;1469;112
128x128;1530;115
512x512;23643;16676
128x128;1489;111
512x512;23762;16914
512x512;23827;17006
256x256;5999;3780
256x256;5860;3820
128x128;1516;167
512x512;23976;16739
256x256;5930;3728
512x512;23669;16968
512x512;23590;16901
512x512;23401;16697
512x512;23356;16404
128x128;1530;113
512x512;23159;16951
128x128;1484;116
128x128;1510;107
512x512;23180;16363
256x256;5963;3689
256x256;6053;3685
256x256;5866;3488
256x256;5970;3713
256x256;5789;3432
256x256;5869;3654
128x128;1436;112
128x128;1447;107
512x512;23603;16485
256x256;5873;3691
256x256;6205;3469
128x128;1469;112
128x128;1487;109
256x256;6003;3675
512x512;23540;16437
512x512;23466;16877
256x256;5896;3737
256x256;5852;3799
512x512;23524;16767
128x128;1478;117
128x128;1478;110
512x512;23075;16965
256x256;5939;3521
512x512;22900;16493
128x128;1500;189
256x256;5874;3772
256x256;5908;3455
128x128;1471;112
512x512;23599;16707
256x256;5846;3498
512x512;23505;16510
128x128;1462;123
128x128;1470;107
128x128;1482;108
256x256;5800;3892
128x128;1474;111
512x512;23136;16549
256x256;5871;3705
256x256;6021;3151
512x512;23377;16446
512x512;23231;17155
128x128;1509;109
512x512;23221;16638
512x512;23319;16923
128x128;1484;111
512x512;23490;16793
128x128;1483;118
256x256;5842;3733
512x512;23707;16896
256x256;5993;3738
256x256;5936;3808
128x128;1461;112
512x512;23698;16890
256x256;5845;3188
256x256;5996;3713
